target_frame_ID;user_query
5970;Two persons are climbing on a rock in a jungle
11784;As small boy is playing in a park with a blue toy
1169;A men is surfing in the ocean
16697;A white text Gloser on a black screen.
299;A young man in sweater and a blonde female are giving an interview
16055;A man is skating on a parking lot with a brick wall in the background
4955;a dark image of a music band with drums in front
9584;gray bird sitting on a branch with green leaves, below are subtitles and the background is blurred
3145;mountain hills surrounded by grey clouds, grass and small flowers in front
5534;Multiple people where there is a man with skis on the snow slope.
5106;A man wearing red jacket and trousers skiing on snow.
18992;A view of the dubai city where we see huge teddy.
18116;View of man riding a bike in some dessert with handlebars visible and blue sky with clouds.
16613;Greyscale photo of a man in plain cap with cupboard and window visible in the background.
19765;Screenshot of a photo where anchor is presenting news in a studio.
15635;View on fountain and night city.
16717;View of land with few buildings, lot of clouds and huge mountain.
15448;A man on a wheelchair wearing grey cap indoors.
16787;Multiple cars riding dusty street where buildings are visible in the background.
11988;Graphics containing black and yellow shapes with sky background.
18123;Two men sitting at the table talking to each other with bookcase and banner in the background.
15903;Person walking in green bush and white subtitles at the bottom of the image.
9056;Completely dark screen.
16589;Black screen with small white text in the middle.
3962;Black screen with a man playing cello in front of the wall with graffiti.
9078;Stage with three musicians and one of them is guitrrist.
17698;View of dirt road with grass around from the cyclists point of view.
731;A very bright photo of hands holding feet in shoes on the grass.
2216;detail of hands holding a small book with drawn pictures of historical persons
5674;Crowd of people looking at a stage with lots of microphones and equipment, picture with fire on the wall and banner with text
1738;a blond woman with short haircut in black sweater and glasses speaking to microphone, red curtains on the left
1311;dark room with open glass door with the view on landscape
6929;on the left, young man in green shirt with open mouth and another man in black jacket with black hair on the right
2181;a man with beard and his head tilted, in a suit, and with glasses next to a young woman face with curly red hair, a part of a white plastic tent in the background
529;a group of people looking at flamenco dancers in red-black dresses on a shiny floor
16098;a part of hand with arm, elbow and wrist, and part of black t-shirt
13934;young woman with colored short red hair and black top, sitting on black armchair, behind her are computer monitor and table with a lying cat and white cup
18772;morning view of tiled roof with a tower and workers on, trees on the left ,clock tower and mountain on the back 
9584;A brown bird sitting on a branch. 
16008;A group of formally dressed people laughing. 
1900;A face of a man in black hat with black beard that seems to be singing.
10001;Blured photo of some woman's face with curly black hair.
5521;three people, stadium, woman in pink, green floor, subtitles
463;an onld man in black suit with white hari, small child in red ress, book shelf, woman in white dress
4429;crowd of people from distance, blurred green grass, brown hut
257;A woman doing yoga with black hat, purple t-shirt and river in the back.
10007;Two men sitting in some restaurant at the table eating something, also mirror and red door in the back.
10137;Two men sitting in front of the white wall wearing grey jacket and black t-shirt.
8256;Black haired man drinking from the glass.
5381;Multiple people standing on concrete surface with bike lying in the background.
10045;Older woman siting and speaking into the microphone with flowers on the left.
19134;Photograph of green ground with some green bush and rocks visible.
6761;Black and white photo of woman with dark hair speaking to a man.
544;Couple looking standing hear the water behind steen fence.
17032;Green house with huge sunshine and garden furniture visible.
9112;Wooden box with some text on in that is a but blurred on the right.
16846;Male person standing in a dark wearing black hat.
18195;Man wearing a shirt reading from a paper on some stage and woman in background and green bush.
5511;Face of a man with black long hair andb beard wearing black sweater and white paper visible in the background.
4715;blonde woman and a man inside a car with blue shawl
15844;Man with long bolnde hair wearing glasses on sstage speaking.
16747;Older man speaking with white tank in front of the tree and some tree.
17076;Computer screen of photo editing softeare and some hall photograph.
11571;Face of a asian man wearing glasses with some text and windows visible in the background.
11250;Bride and groom hoding hands walking face off the camera.
12609;Person walking wearing some red clothes with some black background.
15920;Older man playing guitar wearing glasses and black t-shirt.
6108;Black billboard with pavement and some historical building in the background.
10955;Five people wearing glasses in a bath.
10856;Head of a man with black hair in front of green bush.
30;Magazines in some bookstore with few people standing around.
11701;Women standing in front of white wall with some text.
14903;historical stone building  with cross and cloudy sky
334;crowd of people walking with trees visible
14532;dark photo of yellow wall with some paint artwork
10159;view of land and some rock with someone standing on top of it
1165;photo of a lake during sunset 
6280;head of a man riding on water
10570;Two men speaking in some garrage with some posters in the background.
4853;nice blue sky woth some clouds and basketball hoop
5726;Fuzzy image of some boat with lot of things on it
1090;Man with bue shirt speaking on a stage where we see guitar and notebook.
1137;Old woman's head wearing scarf and yello wall in the background.
10858;Blurry image of woman with long brown hair in forrest.
8759;a young white boy wearing a gopro camera pointing a finger
4082;dark round room with wooden floor with 3 men sitting on the edge
5895;a young man with dark hair and a beard with closed eyes
6989;a white modern house with a fountain and a blue lamp and a tree
8029;a white young man rapping and leaning over a black BMW SUV watching a white young woman in a pink dress dancing
10783;an old black man with a hat kneeling in a green nature
2893;a cyclist riding a bike on a road through a village passing an old gray house on the left
8379;an old industrial town with a road leading over a river 
1781;a field with a freshly harvested grain
11228;white and pink roses
330;a purple stage of an ongoing concert of RIFFS&BEAT band with two femaile singers in the front and a male keyboard player in the back
8918;a view through a peephole with a middleage white man with a white T-shirt in the front and two white men with their hands up in the back
2638;a young white baby wiping his eyes with his hands
3045;a hand with blue sleeve reaching for a tirkis jacket lying between a white hat and a pink backpack
10316;pictures lying on the ground with two pairs of feet
13840;black hands holding a blue and white book named Ville de Fouesnant
2877;two white young women on a party with red and white party hats
3554;three young men talking dressed in black and white, one of them is on the phone
17305;plenty of white empty chairs with red stripes inside a light room
3518;two glasses of coctail drinks, one is white with purple and green decorations and the second is bloody red with a black straw
461;a young white baby in a white dress held by a person in a pink dress on a colorful carpet
1538;a historic wooden seat leaning against an old church brick wall
7793;a skier on a snowy mountain hill
8855;a young black just-married couple kissing on their wedding with black people in the back
2760;a snowboarder jumping over a snowy mountain hill
16906;a white topless man climing on a big rock in a mountain forest
14851;a stage of a country band with 4 men playing in front of a big yellow sign saying ilais des not
5915;a picture of a policeman standing outside besides a stop sign with a caption saying Officer Von Dauber Northampton Police Department
7999;a black old woman sitting before a doctor
2889;a cyclist riding through a village road passing a woman with a red jacket
17306;a silver plate and a black foot standing on a rock and other man's hand is kneeling and touching it
13336;a couple in the wedding dress hugging outside in front of a table with two glasses of wine
10457;a head of a brown dog looking to the right with a caption a field, there's a river, the green trees, these very nic red, green, shurbs
3432;people with a red shade inside a party tent
17189;tattooed hands of a white bearded man with black gloves closing a black marker
13913;a white man with black hair in a blue shirt holding something
12474;View of man's head and face of bride that is smiling with some trees and grass in the background.
11386;a sandy road with a small lake on the left and green trees on the right
417;Three people fighting on green gras with greeen forest in the background.
686;an underwater flower with a lot of white strings
19915;"a middle-aged white man in a jumper talking to us in a white room with yellow chairs with caption circuito fechado"""
17603;a detail of a gray koral
9708;jesus with closed eyes talking to a black haired woman
14139;an old picture of a fancy dressed young boy with older woman in the nature
8759;Man with camera on his head in skate park with trees visible in the background.
2122;Street with road and trees and notice boards.
7431;Forest road with yellow grass around.
8659;Two women in bathsuits swiming in some dark water.
7838;Someone riding cayak on wild river with his arm visible.
14716;Man sitting in some studio in front of the reflectors holding white block.
2878;Indian celebration with multiple people and women in yellow dress.
4862;two men wearing black clothes sitting in workshop.
8925;Black screen with white text in the middle.
